year,career,Recurrent salary,Non-Recurrentsalary
99,Electricalequipmentmanufacturingindustry,29436,7033
100,Electricalequipmentmanufacturingindustry,29722,6686
101,Electricalequipmentmanufacturingindustry,30512,7710
102,Electricalequipmentmanufacturingindustry,30681,6968
103,Electricalequipmentmanufacturingindustry,30545,8509
104,Electricalequipmentmanufacturingindustry,30760,8915
105,Electricalequipmentmanufacturingindustry,31222,7713
