year,career,Recurrent salary,Non-Recurrentsalary
99,Miningandearthworkindustry,66215,31927
100,Miningandearthworkindustry,67283,34558
101,Miningandearthworkindustry,68004,26989
102,Miningandearthworkindustry,67269,29392
103,Miningandearthworkindustry,66115,26169
104,Miningandearthworkindustry,64737,22499
105,Miningandearthworkindustry,62883,18510
