year,career,Recurrent salary,Non-Recurrentsalary
99,Paperandpaperproductsmanufacturing,28624,6047
100,Paperandpaperproductsmanufacturing,29384,7755
101,Paperandpaperproductsmanufacturing,29492,5943
102,Paperandpaperproductsmanufacturing,29521,6122
103,Paperandpaperproductsmanufacturing,30434,5750
104,Paperandpaperproductsmanufacturing,30891,5569
105,Paperandpaperproductsmanufacturing,31182,6351
