year,career,Recurrent salary,Non-Recurrentsalary
99,Industrialmachineryandequipmentrepairandinstallationindustry,33040,8414
100,Industrialmachineryandequipmentrepairandinstallationindustry,33874,8980
101,Industrialmachineryandequipmentrepairandinstallationindustry,34245,5917
102,Industrialmachineryandequipmentrepairandinstallationindustry,34579,7123
103,Industrialmachineryandequipmentrepairandinstallationindustry,35330,6719
104,Industrialmachineryandequipmentrepairandinstallationindustry,36693,7548
105,Industrialmachineryandequipmentrepairandinstallationindustry,37448,8734
