year,career,Recurrent salary,Non-Recurrentsalary
99,Clothingandapparelmanufacturingindustry,27276,3936
100,Clothingandapparelmanufacturingindustry,27375,4587
101,Clothingandapparelmanufacturingindustry,28016,5482
102,Clothingandapparelmanufacturingindustry,27843,3527
103,Clothingandapparelmanufacturingindustry,27986,3586
104,Clothingandapparelmanufacturingindustry,28509,3826
105,Clothingandapparelmanufacturingindustry,29029,4012
