year,career,Recurrent salary,Non-Recurrentsalary
99,Watersupplyindustry,63057,25250
100,Watersupplyindustry,63186,27837
101,Watersupplyindustry,63511,19386
102,Watersupplyindustry,63056,24668
103,Watersupplyindustry,62301,25959
104,Watersupplyindustry,61232,26195
105,Watersupplyindustry,60381,21873
