year,career,Recurrent salary,Non-Recurrentsalary
99,Othertransportandpartsmanufacturing,35855,8289
100,Othertransportandpartsmanufacturing,36034,9748
101,Othertransportandpartsmanufacturing,36213,9823
102,Othertransportandpartsmanufacturing,35938,8879
103,Othertransportandpartsmanufacturing,36455,9726
104,Othertransportandpartsmanufacturing,36990,10054
105,Othertransportandpartsmanufacturing,37651,10220
