year,career,Recurrent salary,Non-Recurrentsalary
99,Sandstoneandclayindustry,29212,2620
100,Sandstoneandclayindustry,29175,2526
101,Sandstoneandclayindustry,29434,3320
102,Sandstoneandclayindustry,29596,2644
103,Sandstoneandclayindustry,30600,2632
104,Sandstoneandclayindustry,30707,2953
105,Sandstoneandclayindustry,31284,3001
