year,career,Recurrent salary,Non-Recurrentsalary
99,Wastetreatmentindustry,28488,6704
100,Wastetreatmentindustry,29597,7427
101,Wastetreatmentindustry,29645,6743
102,Wastetreatmentindustry,30439,4723
103,Wastetreatmentindustry,30839,5573
104,Wastetreatmentindustry,30433,4304
105,Wastetreatmentindustry,30553,3358
