year,career,Recurrent salary,Non-Recurrentsalary
99,Electricalplumbingandotherconstructionequipmentinstallationindustry,36163,5337
100,Electricalplumbingandotherconstructionequipmentinstallationindustry,35984,6394
101,Electricalplumbingandotherconstructionequipmentinstallationindustry,36755,6149
102,Electricalplumbingandotherconstructionequipmentinstallationindustry,36933,4931
103,Electricalplumbingandotherconstructionequipmentinstallationindustry,36757,4325
104,Electricalplumbingandotherconstructionequipmentinstallationindustry,37237,5068
105,Electricalplumbingandotherconstructionequipmentinstallationindustry,37723,5142
