year,career,Recurrent salary,Non-Recurrentsalary
99,Textileindustry,29984,5376
100,Textileindustry,30258,5877
101,Textileindustry,30669,5163
102,Textileindustry,31176,5043
103,Textileindustry,31800,5943
104,Textileindustry,31846,6392
105,Textileindustry,32093,6173
