year,career,Recurrent salary,Non-Recurrentsalary
99,"Computers, electronic products and optical products manufacturing",39762,9284
100,"Computers, electronic products and optical products manufacturing",40186,10262
101,"Computers, electronic products and optical products manufacturing",41002,10321
102,"Computers, electronic products and optical products manufacturing",41438,10445
103,"Computers, electronic products and optical products manufacturing",42458,12193
104,"Computers, electronic products and optical products manufacturing",43490,13066
105,"Computers, electronic products and optical products manufacturing",44121,10963
