year,career,Recurrent salary,Non-Recurrentsalary
99,Woodandbambooproductsmanufacturingindustry,26394,4010
100,Woodandbambooproductsmanufacturingindustry,27154,4841
101,Woodandbambooproductsmanufacturingindustry,27732,4646
102,Woodandbambooproductsmanufacturingindustry,28493,5317
103,Woodandbambooproductsmanufacturingindustry,29651,3778
104,Woodandbambooproductsmanufacturingindustry,29659,5500
105,Woodandbambooproductsmanufacturingindustry,29854,6730
