year,career,Recurrent salary,Non-Recurrentsalary
99,Civilengineeringindustry,36271,3983
100,Civilengineeringindustry,34586,6012
101,Civilengineeringindustry,34528,5789
102,Civilengineeringindustry,35293,5742
103,Civilengineeringindustry,35438,5445
104,Civilengineeringindustry,35190,6063
105,Civilengineeringindustry,33988,5568
