year,career,Recurrent salary,Non-Recurrentsalary
99,Wasteremovalindustry,26478,2303
100,Wasteremovalindustry,26717,2403
101,Wasteremovalindustry,26440,2865
102,Wasteremovalindustry,26329,2153
103,Wasteremovalindustry,26693,3041
104,Wasteremovalindustry,26499,3121
105,Wasteremovalindustry,26554,3449
