year,career,Recurrent salary,Non-Recurrentsalary
99,Caranditspartsmanufacturingindustry,34121,9164
100,Caranditspartsmanufacturingindustry,33973,11764
101,Caranditspartsmanufacturingindustry,34312,13311
102,Caranditspartsmanufacturingindustry,34850,12434
103,Caranditspartsmanufacturingindustry,35142,12930
104,Caranditspartsmanufacturingindustry,35238,13245
105,Caranditspartsmanufacturingindustry,35650,12342
