year,career,Recurrent salary,Non-Recurrentsalary
99,Wastewatertreatmentindustry,29666,3063
100,Wastewatertreatmentindustry,29797,2673
101,Wastewatertreatmentindustry,29796,3651
102,Wastewatertreatmentindustry,30811,4768
103,Wastewatertreatmentindustry,31190,3715
104,Wastewatertreatmentindustry,31650,3273
105,Wastewatertreatmentindustry,32258,3194
