wage
43434
36120
65009
35464
38236
62883
31284
32469
42476
32093
29029
33112
29854
31182
30917
59624
49491
44399
36601
31766
32760
31496
39727
30460
41359
44121
31222
31392
35650
37651
27395
33082
37448
68483
48691
60381
32258
26554
30553
27571
41686
33988
37723

38193
41301
29158
54148
60322
35106
50279
32231
23342
53430
34249
29653
40851
31821
37749
46783
40496
24938
30420
72465
66862
62258
36638
39009
52473
47069
32687
49952
36199
41664
65811
56597
59735
64427
46671
48823
57688
60899
46242
83356
56827
43511
29751
46614
47863
48681
53170
47993
62654
43522
33365
38155
28920
28582
39076
23342
53430
36044
33955
31421
26253
30855
