year,career,Recurrent salary,Non-Recurrentsalary
99,Leatherfurproductsmanufacturingindustry,29884,5616
100,Leatherfurproductsmanufacturingindustry,30701,5589
101,Leatherfurproductsmanufacturingindustry,31145,5840
102,Leatherfurproductsmanufacturingindustry,31457,5316
103,Leatherfurproductsmanufacturingindustry,31966,7384
104,Leatherfurproductsmanufacturingindustry,32568,8216
105,Leatherfurproductsmanufacturingindustry,33112,9267
