year,career,Recurrent salary,Non-Recurrentsalary
99,ChemicalMaterialsManufacturing,45362,20915
100,ChemicalMaterialsManufacturing,46695,20646
101,ChemicalMaterialsManufacturing,47546,18566
102,ChemicalMaterialsManufacturing,47887,14679
103,ChemicalMaterialsManufacturing,48345,16829
104,ChemicalMaterialsManufacturing,48658,17591
105,ChemicalMaterialsManufacturing,49491,20063
